Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,48.448179,44.483284,16.747698,16.419912
MainWing,62.635430,58.488189,6.486771,6.468045
HTail,17.497272,16.074312,0.965144,0.946783
VTail,8.546772,7.916717,0.488311,0.482988
Nacelle_R,4.254419,3.717623,0.627955,0.585936
Nacelle_L,4.254419,3.717623,0.627955,0.585936
LiftStrut_Pair,2.222693,2.130402,0.030892,0.030892
LiftStrut_Pair,2.222693,2.130402,0.030892,0.030892
MainGearLeg_Pair,0.591063,0.486381,0.008604,0.007561
MainGearLeg_Pair,0.591063,0.486381,0.008604,0.007561
MainWheel_Pair,0.686673,0.681263,0.049967,0.049967
MainWheel_Pair,0.686673,0.681263,0.049967,0.049967
NoseGearLeg,0.226628,0.136799,0.003036,0.001957
NoseWheel,0.466191,0.460059,0.027874,0.027874
Totals,153.330166,141.590699,26.153670,25.696269
