PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (KTAS), S_ref (m^2)
0.202557, 2600.000000, 130.000000, 30.000000 

Temp (F), Pressure (lbf/ft^2), Density (kg/m^3) 
28.580000, 1540.278267, 0.947145 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Spalding Explicit Empirical Fit 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (m^2),Cd,% Total 
Fuselage,44.528893, 10.806133, 6.009172,1.134088, Hoerner Streamlined Body,40107132.276211, 0.000000,0.002422, 1.000000,0.122329, 0.004078, 25.554043 
Fuselage_0,44.528893, 10.806133, 6.009172,1.134088, Hoerner Streamlined Body,40107132.276211, 0.000000,0.002422, 1.000000,0.122329, 0.004078, 25.554043 
MainWing,59.598499, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.258601, 0.008620, 54.020629 
MainWing_0,22.890886, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.099325, 0.003311, 20.748511 
MainWing_1,22.890886, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.099325, 0.003311, 20.748511 
[ss] SS_CONT_0_0,0.831908, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.003610, 0.000120, 0.754049 
[ss] SS_CONT_0_1,0.831908, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.003610, 0.000120, 0.754049 
[ss] SS_CONT_1_0,6.076455, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.026366, 0.000879, 5.507755 
[ss] SS_CONT_1_1,6.076455, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.026366, 0.000879, 5.507755 
HTail,16.074306, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.065758, 0.002192, 13.736640 
HTail_0,5.121836, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.020953, 0.000698, 4.376974 
HTail_1,5.121836, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.020953, 0.000698, 4.376974 
[ss] SS_CONT_0_0,2.915317, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.011926, 0.000398, 2.491346 
[ss] SS_CONT_0_1,2.915317, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.011926, 0.000398, 2.491346 
VTail,7.916714, 1.508043, 0.119856,1.252094, Hoerner,5597127.167143, 0.000000,0.003230, 1.000000,0.032019, 0.001067, 6.688689 
VTail_0,4.679075, 1.508043, 0.119856,1.252094, Hoerner,5597127.167143, 0.000000,0.003230, 1.000000,0.018925, 0.000631, 3.953266 
[ss] SS_CONT_0_0,3.237639, 1.508043, 0.119856,1.252094, Hoerner,5597127.167143, 0.000000,0.003230, 1.000000,0.013095, 0.000436, 2.735423 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.478708, 0.015957, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.478708, 0.015957, 100.000000 
