PARASITE DRAG BUILD UP DATA 

Mach, Altitude (m), Vinf (KTAS), S_ref (m^2)
0.202557, 2600.000000, 130.000000, 30.000000 

Temp (F), Pressure (lbf/ft^2), Density (kg/m^3) 
28.580000, 1540.278267, 0.947145 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Spalding Explicit Empirical Fit 

Component Name,S_wet (m^2),L_ref (m),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (m^2),Cd,% Total 
Fuselage,44.528893, 10.806133, 6.009172,1.134088, Hoerner Streamlined Body,40107132.276211, 0.000000,0.002422, 1.000000,0.122329, 0.004078, 24.083306 
Fuselage_0,44.528893, 10.806133, 6.009172,1.134088, Hoerner Streamlined Body,40107132.276211, 0.000000,0.002422, 1.000000,0.122329, 0.004078, 24.083306 
MainWing,58.530361, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.253967, 0.008466, 49.999081 
MainWing_0,22.356817, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.097007, 0.003234, 19.098128 
MainWing_1,22.356817, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.097007, 0.003234, 19.098128 
[ss] SS_CONT_0_0,0.831908, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.003610, 0.000120, 0.710650 
[ss] SS_CONT_0_1,0.831908, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.003610, 0.000120, 0.710650 
[ss] SS_CONT_1_0,6.076455, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.026366, 0.000879, 5.190762 
[ss] SS_CONT_1_1,6.076455, 1.880520, 0.170054,1.390285, Hoerner,6979579.334564, 0.000000,0.003121, 1.000000,0.026366, 0.000879, 5.190762 
HTail,16.074306, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.065758, 0.002192, 12.946042 
HTail_0,5.121836, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.020953, 0.000698, 4.125062 
HTail_1,5.121836, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.020953, 0.000698, 4.125062 
[ss] SS_CONT_0_0,2.915317, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.011926, 0.000398, 2.347959 
[ss] SS_CONT_0_1,2.915317, 1.402802, 0.119856,1.252094, Hoerner,5206523.366646, 0.000000,0.003267, 1.000000,0.011926, 0.000398, 2.347959 
VTail,7.916714, 1.508043, 0.119856,1.252094, Hoerner,5597127.167143, 0.000000,0.003230, 1.000000,0.032019, 0.001067, 6.303728 
VTail_0,4.679075, 1.508043, 0.119856,1.252094, Hoerner,5597127.167143, 0.000000,0.003230, 1.000000,0.018925, 0.000631, 3.725740 
[ss] SS_CONT_0_0,3.237639, 1.508043, 0.119856,1.252094, Hoerner,5597127.167143, 0.000000,0.003230, 1.000000,0.013095, 0.000436, 2.577988 
Nacelle_R,3.717623, 2.200000, 3.141637,1.495126, Hoerner Streamlined Body,8165334.902140, 0.000000,0.003047, 1.000000,0.016934, 0.000564, 3.333921 
Nacelle_R_0,3.717623, 2.200000, 3.141637,1.495126, Hoerner Streamlined Body,8165334.902140, 0.000000,0.003047, 1.000000,0.016934, 0.000564, 3.333921 
Nacelle_L,3.717623, 2.200000, 3.141637,1.495126, Hoerner Streamlined Body,8165334.902140, 0.000000,0.003047, 1.000000,0.016934, 0.000564, 3.333921 
Nacelle_L_0,3.717623, 2.200000, 3.141637,1.495126, Hoerner Streamlined Body,8165334.902140, 0.000000,0.003047, 1.000000,0.016934, 0.000564, 3.333921 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 0.507942, 0.016931, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 0.507942, 0.016931, 100.000000 
